Language,Query,Weight,Bucket,#1,#2,#3,#4,#5,Comment,Grammar queries,P/A/O
he,542,1443,מספר תכנית (חיים חדשים),https://kabbalahmedia.info/he/programs/cu/AsNLozeK,,,,,,,pragmatic
he,707,1443,מספר תכנית (חיים חדשים),https://kabbalahmedia.info/he/programs/cu/fMJtiizU,,,,,,,pragmatic
he,103,1443,מספר תכנית (חיים חדשים),https://kabbalahmedia.info/he/programs/c/l4WQAsm9,https://kabbalahmedia.info/he/programs/cu/VrwG8S4o,,,,"All results are 103fm, should be more various",,pragmatic
he,209,1443,מספר תכנית (חיים חדשים),https://kabbalahmedia.info/he/programs/cu/g0s6w9ze,,,,,,,pragmatic
he,פתיחה,474.2,מאמר בקבלה,https://kabbalahmedia.info/he/sources/kB3eD83I,[latest]https://kabbalahmedia.info/he/lessons?source=bs_L2jMWyce_kB3eD83I,https://kabbalahmedia.info/he/lessons/series/c/XZoflItG,https://kabbalahmedia.info/he/lessons/series/c/Y4ybN1qM,https://kabbalahmedia.info/he/lessons/series/c/yoLixtE4,"If date older then week, article goes first.",,pragmatic
he,הקדמה לספר הזוהר,474.2,מאמר בקבלה,https://kabbalahmedia.info/he/sources/ALlyoveA,[latest]https://kabbalahmedia.info/he/lessons?source=bs_L2jMWyce_ALlyoveA,https://kabbalahmedia.info/he/lessons/series/c/MTFgU93m,https://kabbalahmedia.info/he/lessons/series/c/Si44p2MQ,,unclear which one is the correct....,,pragmatic
he,מתן תורה,474.2,מאמר בקבלה,https://kabbalahmedia.info/he/sources/2bscFWf4,[latest]https://kabbalahmedia.info/he/lessons?source=bs_qMeV5M3Y_2bscFWf4,https://kabbalahmedia.info/he/lessons/series/c/aMqw2MH4?language=he,https://kabbalahmedia.info/he/lessons/series/c/ZuAHvIQ5?language=he,,,,pragmatic
he,מאמר השלום,474.2,מאמר בקבלה,https://kabbalahmedia.info/he/sources/28Cmp7gl,[latest]https://kabbalahmedia.info/he/lessons?source=bs_qMeV5M3Y_28Cmp7gl,https://kabbalahmedia.info/he/lessons/series/c/7YCqviDG?language=he,https://kabbalahmedia.info/he/lessons/series/c/8d7OLC30?language=he,,,1,pragmatic
he,מבוא לספר הזוהר,474.2,מאמר בקבלה,https://kabbalahmedia.info/he/sources/tswzgnWk,[latest]https://kabbalahmedia.info/he/lessons?source=bs_L2jMWyce_tswzgnWk,,,,,,pragmatic
he,מקובלים כותבים,333.2,תכנית טלוויזיה,https://kabbalahmedia.info/he/programs/c/fLWpcUjQ,,,,,results unsorted inside program,,pragmatic
he,עולמות נפגשים,333.2,תכנית טלוויזיה,https://kabbalahmedia.info/he/programs/c/FOOoTpLR,,,,,,,pragmatic
he,שאל את המקובל,333.2,תכנית טלוויזיה,https://kabbalahmedia.info/he/programs/c/TXrFZRBE,,,,,,,pragmatic
he,הפתרון,333.2,תכנית טלוויזיה,https://kabbalahmedia.info/he/programs/c/MvD8Dk2S,,,,,,,pragmatic
he,מורים דרך,333.2,תכנית טלוויזיה,https://kabbalahmedia.info/he/programs/c/JMkKQ7ZZ,,,,,unrelated results,,pragmatic
he,חיים חדשים,528.6666667,חיים חדשים,https://kabbalahmedia.info/he/programs/c/zf4lLwyI,[latest]https://kabbalahmedia.info/he/programs/c/zf4lLwyI,,,,groups,,pragmatic
he,חיים,528.6666667,חיים חדשים,https://kabbalahmedia.info/he/programs/c/zf4lLwyI,[latest]https://kabbalahmedia.info/he/programs/c/zf4lLwyI,,,,groups,,pragmatic
he,תוכנית חיים חדשים,528.6666667,חיים חדשים,https://kabbalahmedia.info/he/programs/c/zf4lLwyI,[latest]https://kabbalahmedia.info/he/programs/c/zf4lLwyI,,,,groups,1,pragmatic
